"Date","Item name","Brand","Location","Gross sales","Units sold","Unique orders","Currency code","Is parent","Parent name"
"11/19/2022","IL01 Braised Pork Rice 碎碎平安爛肉飯","Inluck","Just Kitchen - Sai Ying Pun","198.3000","3","3","HKD","Yes",""
"11/19/2022","OOHA Yuzu 柚子海鹽味汽水 330mL","Master Don","Just Kitchen - Sai Ying Pun","21.0000","1","1","HKD","Yes",""
"11/19/2022","MB07 Crispy Chicken Tender Sandwich 美式脆雞堡","Mr. Beast Burger","Just Kitchen - Sai Ying Pun","0.0000","2","1","HKD","No","MB02 Chicken Sandwich Combo 美式雞肉堡套餐"
"11/19/2022","調味(微辣) Seasoned","Mr. Beast Burger","Just Kitchen - Sai Ying Pun","0.0000","1","1","HKD","No","MB01 特製雙層牛肉堡套餐 Beast Style Burger Combo"
"11/19/2022","Hot Lemon Water 淡謀謀熱檸檬水","Inluck","Just Kitchen - Sai Ying Pun","18.0000","1","1","HKD","Yes",""
"11/19/2022","低碳低澱粉雞胸餐盒 Sous Vide Chicken Breast Low Carb Bento BF11","[Roo]Go Lean","Just Kitchen - Sai Ying Pun","99.8000","1","1","HKD","Yes",""
"11/19/2022","原味波浪酥薯 Crinkle Fries","[Roo] Mr. Beast Burger","Just Kitchen - Sai Ying Pun","0.0000","1","1","HKD","No","Chicken Sandwich Combo 美式雞肉堡套餐 MB02"
"11/19/2022","MB10 霹靂波浪酥薯 Seasoned Crinkle Fries","Mr. Beast Burger","Just Kitchen - Kwun Tong","0.0000","2","2","HKD","No","MB01 特製雙層牛肉堡套餐 Beast Style Burger Combo"
"11/19/2022","No Pickles","Banh Mi Kitchen","Just Kitchen - Kwun Tong","0.0000","1","1","HKD","No","Cold Cut Classic"
"11/19/2022","炒野菜 Stir-fry Vegetables IL11","[Roo] Ginza-don","Just Kitchen - Sai Ying Pun","25.0000","1","1","HKD","Yes",""
"11/19/2022","雪碧 Sprite","Mr. Beast Burger","Just Kitchen - Chai Wan","0.0000","1","1","HKD","No","MB02 美式雞肉堡套餐 Chicken Sandwich Combo"
"11/19/2022","Beast Style Burger Combo 特製雙層牛肉堡套餐 MB01","[Roo] Mr. Beast Burger","Just Kitchen - Chai Wan","507.3000","3","3","HKD","Yes",""
